id,word,sourceWord,pinyin,introducedLevel,hskLevels,partOfSpeechSource,sourceSort,sourceLevelName
hsk5_001,哎,哎,āi,5,5,叹,2001,五级
hsk5_002,哎呀,哎呀,āiyā,5,5,叹,2002,五级
hsk5_003,唉,唉,ài,5,5,叹,2003,五级
hsk5_004,爱护,爱护,àihù,5,5,动,2004,五级
hsk5_005,安,安,ān,5,5,形、动,2005,五级
hsk5_006,安全带,安全带,ānquándài,5,5,名,2006,五级
hsk5_007,安慰,安慰,ānwèi,5,5,动、形,2007,五级
hsk5_008,安装,安装,ānzhuāng,5,5,动,2008,五级
hsk5_009,暗,暗,àn,5,5,形,2009,五级
hsk5_010,熬夜,熬夜,áoyè,5,5,动,2010,五级
hsk5_011,把握,把握,bǎwò,5,5,动、名,2011,五级
hsk5_012,白,白,bái,5,5,形、副,2012,五级
hsk5_013,半夜,半夜,bànyè,5,5,数量、名,2013,五级
hsk5_014,傍晚,傍晚,bàngwǎn,5,5,名,2014,五级
hsk5_015,包裹,包裹,bāoguǒ,5,5,动、名,2015,五级
hsk5_016,包含,包含,bāohán,5,5,动,2016,五级
hsk5_017,包括,包括,bāokuò,5,5,动,2017,五级
hsk5_018,包装,包装,bāozhuāng,5,5,动、名,2018,五级
hsk5_019,薄,薄,báo,5,5,形,2019,五级
hsk5_020,宝,宝,bǎo,5,5,名,2020,五级
hsk5_021,保,保,bǎo,5,5,动、名,2021,五级
hsk5_022,保安,保安,bǎo’ān,5,5,动、名,2022,五级
hsk5_023,宝贝,宝贝,bǎobèi,5,5,名,2023,五级
hsk5_024,保持,保持,bǎochí,5,5,动,2024,五级
hsk5_025,保存,保存,bǎocún,5,5,动,2025,五级
hsk5_026,宝贵,宝贵,bǎoguì,5,5,形,2026,五级
hsk5_027,保留,保留,bǎoliú,5,5,动,2027,五级
hsk5_028,保险,保险,bǎoxiǎn,5,5,名、形,2028,五级
hsk5_029,保质期,保质期,bǎozhìqī,5,5,名,2029,五级
hsk5_030,报到,报到,bàodào,5,5,动,2030,五级
hsk5_031,报道,报道,bàodào,5,5,动、名,2031,五级
hsk5_032,报告,报告,bàogào,5,5,动、名,2032,五级
hsk5_033,报警,报警,bàojǐng,5,5,动,2033,五级
hsk5_034,暴雨,暴雨,bàoyǔ,5,5,名,2034,五级
hsk5_035,抱怨,抱怨,bàoyuàn,5,5,动,2035,五级
hsk5_036,背,背,bèi,5,5,名、动、形,2036,五级
hsk5_037,背后,背后,bèihòu,5,5,名,2037,五级
hsk5_038,背景,背景,bèijǐng,5,5,名,2038,五级
hsk5_039,被子,被子,bèizi,5,5,名,2039,五级
hsk5_040,本,本2,běn,5,5,副、代,2040,五级
hsk5_041,本地,本地,běndì,5,5,名,2041,五级
hsk5_042,本领,本领,běnlǐng,5,5,名,2042,五级
hsk5_043,本人,本人,běnrén,5,5,代,2043,五级
hsk5_044,本质,本质,běnzhì,5,5,名,2044,五级
hsk5_045,彼此,彼此,bǐcǐ,5,5,代,2045,五级
hsk5_046,比分,比分,bǐfēn,5,5,名,2046,五级
hsk5_047,比例,比例,bǐlì,5,5,名,2047,五级
hsk5_048,比喻,比喻,bǐyù,5,5,动、名,2048,五级
hsk5_049,必,必,bì,5,5,副,2049,五级
hsk5_050,毕竟,毕竟,bìjìng,5,5,副,2050,五级
hsk5_051,避免,避免,bìmiǎn,5,5,动,2051,五级
hsk5_052,闭幕式,闭幕式,bìmùshì,5,5,名,2052,五级
hsk5_053,必然,必然,bìrán,5,5,形、名,2053,五级
hsk5_054,必需,必需,bìxū,5,5,动,2054,五级
hsk5_055,必要,必要,bìyào,5,5,形,2055,五级
hsk5_056,便,便,biàn,5,5,副,2056,五级
hsk5_057,变动,变动,biàndòng,5,5,动,2057,五级
hsk5_058,便利,便利,biànlì,5,5,形、动,2058,五级
hsk5_059,便利店,便利店,biànlìdiàn,5,5,名,2059,五级
hsk5_060,标题,标题,biāotí,5,5,名,2060,五级
hsk5_061,标志,标志,biāozhì,5,5,名、动,2061,五级
hsk5_062,表达,表达,biǎodá,5,5,动,2062,五级
hsk5_063,表面,表面,biǎomiàn,5,5,名,2063,五级
hsk5_064,表明,表明,biǎomíng,5,5,动,2064,五级
hsk5_065,表情,表情,biǎoqíng,5,5,名,2065,五级
hsk5_066,别,别2,bié,5,5,动,2066,五级
hsk5_067,饼,饼,bǐng,5,5,名,2067,五级
hsk5_068,病房,病房,bìngfáng,5,5,名,2068,五级
hsk5_069,病情,病情,bìngqíng,5,5,名,2069,五级
hsk5_070,拨打,拨打,bōdǎ,5,5,动,2070,五级
hsk5_071,玻璃,玻璃,bōli,5,5,名,2071,五级
hsk5_072,博物馆,博物馆,bówùguǎn,5,5,名,2072,五级
hsk5_073,不利,不利,búlì,5,5,形,2073,五级
hsk5_074,不幸,不幸,búxìng,5,5,形、名,2074,五级
hsk5_075,不要紧,不要紧,búyàojǐn,5,5,形,2075,五级
hsk5_076,补充,补充,bǔchōng,5,5,动,2076,五级
hsk5_077,不得了,不得了,bùdéliǎo,5,5,形,2077,五级
hsk5_078,不符,不符,bùfú,5,5,动,2078,五级
hsk5_079,不良,不良,bùliáng,5,5,形,2079,五级
hsk5_080,不然,不然,bùrán,5,"5,7",连、（形）,2080,五级（七-九级）
hsk5_081,步行,步行,bùxíng,5,5,动,2081,五级
hsk5_082,不足,不足,bùzú,5,5,动、名,2082,五级
hsk5_083,才,才2,cái,5,5,名,2083,五级
hsk5_084,裁判,裁判,cáipàn,5,5,动、名,2084,五级
hsk5_085,采访,采访,cǎifǎng,5,5,动,2085,五级
hsk5_086,采取,采取,cǎiqǔ,5,5,动,2086,五级
hsk5_087,彩色,彩色,cǎisè,5,5,名,2087,五级
hsk5_088,采用,采用,cǎiyòng,5,5,动,2088,五级
hsk5_089,参考,参考,cānkǎo,5,5,动,2089,五级
hsk5_090,餐饮,餐饮,cānyǐn,5,5,名,2090,五级
hsk5_091,参与,参与,cānyù,5,5,动,2091,五级
hsk5_092,藏,藏,cáng,5,5,动,2092,五级
hsk5_093,操作,操作,cāozuò,5,5,动,2093,五级
hsk5_094,册,册,cè,5,5,量,2094,五级
hsk5_095,测,测,cè,5,5,动,2095,五级
hsk5_096,测试,测试,cèshì,5,5,动,2096,五级
hsk5_097,曾,曾,céng,5,5,副,2097,五级
hsk5_098,曾经,曾经,céngjīng,5,5,副,2098,五级
hsk5_099,插,插,chā,5,5,动,2099,五级
hsk5_100,差别,差别,chābié,5,5,名,2100,五级
hsk5_101,差距,差距,chājù,5,5,名,2101,五级
hsk5_102,叉子,叉子,chāzi,5,5,名,2102,五级
hsk5_103,拆,拆,chāi,5,5,动,2103,五级
hsk5_104,产,产,chǎn,5,5,动,2104,五级
hsk5_105,产量,产量,chǎnliàng,5,5,名,2105,五级
hsk5_106,产品,产品,chǎnpǐn,5,5,名,2106,五级
hsk5_107,产业,产业,chǎnyè,5,5,名,2107,五级
hsk5_108,长处,长处,chángchù,5,5,名,2108,五级
hsk5_109,长度,长度,chángdù,5,5,名,2109,五级
hsk5_110,长久,长久,chángjiǔ,5,5,形,2110,五级
hsk5_111,长期,长期,chángqī,5,5,名、形,2111,五级
hsk5_112,常识,常识,chángshí,5,5,名,2112,五级
hsk5_113,尝试,尝试,chángshì,5,5,动,2113,五级
hsk5_114,长途,长途,chángtú,5,5,形,2114,五级
hsk5_115,长远,长远,chángyuǎn,5,5,形,2115,五级
hsk5_116,场所,场所,chǎngsuǒ,5,5,名,2116,五级
