id,word,sourceWord,pinyin,introducedLevel,hskLevels,partOfSpeechSource,sourceSort,sourceLevelName
hsk1_001,爱,爱,ài,1,1,动,1,一级
hsk1_002,八,八,bā,1,1,数,2,一级
hsk1_003,爸爸,爸爸,bàba,1,1,名,3,一级
hsk1_004,吧,吧,ba,1,1,助,4,一级
hsk1_005,白天,白天,báitiān,1,1,名,5,一级
hsk1_006,百,百,bǎi,1,1,数,6,一级
hsk1_007,半,半,bàn,1,"1,4",数、（副）,7,一级（四级）
hsk1_008,包子,包子,bāozi,1,1,名,8,一级
hsk1_009,杯子,杯子,bēizi,1,1,名,9,一级
hsk1_010,本,本1,běn,1,1,量,10,一级
hsk1_011,边,边,biān,1,1,名、后缀,11,一级
hsk1_012,病,病,bìng,1,1,名、动,12,一级
hsk1_013,不,不,bù,1,1,副,13,一级
hsk1_014,不客气,不客气,bú kèqi,1,1,,14,一级
hsk1_015,不要,不要,búyào,1,1,副,15,一级
hsk1_016,菜,菜,cài,1,1,名,16,一级
hsk1_017,茶,茶,chá,1,1,名,17,一级
hsk1_018,唱,唱,chàng,1,1,动,18,一级
hsk1_019,超市,超市,chāoshì,1,1,名,19,一级
hsk1_020,车,车,chē,1,1,名,20,一级
hsk1_021,吃,吃,chī,1,1,动,21,一级
hsk1_022,出租车,出租车,chūzūchē,1,1,名,22,一级
hsk1_023,穿,穿,chuān,1,1,动,23,一级
hsk1_024,打电话,打电话,dǎ diànhuà,1,1,,24,一级
hsk1_025,大,大,dà,1,1,形,25,一级
hsk1_026,大家,大家,dàjiā,1,1,代,26,一级
hsk1_027,大学,大学,dàxué,1,1,名,27,一级
hsk1_028,大学生,大学生,dàxuéshēng,1,1,名,28,一级
hsk1_029,到,到,dào,1,1,动,29,一级
hsk1_030,的,的,de,1,1,助,30,一级
hsk1_031,第,第,dì,1,1,前缀,31,一级
hsk1_032,弟弟,弟弟,dìdi,1,1,名,32,一级
hsk1_033,点,点1,diǎn,1,"1,3",量、（名）,33,一级（三级）
hsk1_034,店,店,diàn,1,1,名,34,一级
hsk1_035,电话,电话,diànhuà,1,1,名,35,一级
hsk1_036,电脑,电脑,diànnǎo,1,1,名,36,一级
