id,word,sourceWord,pinyin,introducedLevel,hskLevels,partOfSpeechSource,sourceSort,sourceLevelName
hsk4_001,啊,啊,ā,4,"1,2,3,4",叹,1001,四级
hsk4_002,爱情,爱情,àiqíng,4,"1,2,3,4",名,1002,四级
hsk4_003,爱心,爱心,àixīn,4,"1,2,3,4",名,1003,四级
hsk4_004,安检,安检,ānjiǎn,4,"1,2,3,4",动,1004,四级
hsk4_005,安排,安排,ānpái,4,"1,2,3,4",动,1005,四级
hsk4_006,按,按,àn,4,"1,2,3,4",动、介,1006,四级
hsk4_007,按时,按时,ànshí,4,"1,2,3,4",副,1007,四级
hsk4_008,按照,按照,ànzhào,4,"1,2,3,4",介,1008,四级
hsk4_009,白酒,白酒,báijiǔ,4,"1,2,3,4",名,1009,四级
hsk4_010,办公,办公,bàngōng,4,"1,2,3,4",动,1010,四级
hsk4_011,办理,办理,bànlǐ,4,"1,2,3,4",动,1011,四级
hsk4_012,办事,办事,bànshì,4,"1,2,3,4",动,1012,四级
hsk4_013,棒,棒,bàng,4,"1,2,3,4",形、（名）,1013,四级（五级）
hsk4_014,保护,保护,bǎohù,4,"1,2,3,4",动,1014,四级
hsk4_015,保证,保证,bǎozhèng,4,"1,2,3,4",动、名,1015,四级
hsk4_016,抱,抱,bào,4,"1,2,3,4",动,1016,四级
hsk4_017,报考,报考,bàokǎo,4,"1,2,3,4",动,1017,四级
hsk4_018,报名,报名,bàomíng,4,"1,2,3,4",动,1018,四级
hsk4_019,抱歉,抱歉,bàoqiàn,4,"1,2,3,4",形,1019,四级
hsk4_020,背,背,bēi,4,"1,2,3,4",动,1020,四级
hsk4_021,背包,背包,bēibāo,4,"1,2,3,4",名,1021,四级
hsk4_022,北部,北部,běibù,4,"1,2,3,4",名,1022,四级
hsk4_023,倍,倍,bèi,4,"1,2,3,4",量,1023,四级
hsk4_024,本科,本科,běnkē,4,"1,2,3,4",名,1024,四级
hsk4_025,本来,本来,běnlái,4,"1,2,3,4",形、副,1025,四级
hsk4_026,笨,笨,bèn,4,"1,2,3,4",形,1026,四级
hsk4_027,鼻子,鼻子,bízi,4,"1,2,3,4",名,1027,四级
hsk4_028,笔试,笔试,bǐshì,4,"1,2,3,4",动,1028,四级
hsk4_029,毕业,毕业,bìyè,4,"1,2,3,4",动,1029,四级
hsk4_030,毕业生,毕业生,bìyèshēng,4,"1,2,3,4",名,1030,四级
hsk4_031,便于,便于,biànyú,4,"1,2,3,4",动,1031,四级
hsk4_032,标准,标准,biāozhǔn,4,"1,2,3,4",名、形,1032,四级
hsk4_033,表,表,biǎo,4,"1,2,3,4",名、（动）,1033,四级（七-九级）
hsk4_034,表格,表格,biǎogé,4,"1,2,3,4",名,1034,四级
hsk4_035,表示,表示,biǎoshì,4,"1,2,3,4",动,1035,四级
hsk4_036,表现,表现,biǎoxiàn,4,"1,2,3,4",动,1036,四级
hsk4_037,表扬,表扬,biǎoyáng,4,"1,2,3,4",动,1037,四级
hsk4_038,饼干,饼干,bǐnggān,4,"1,2,3,4",名,1038,四级
hsk4_039,并,并,bìng,4,"1,2,3,4",动、副、连,1039,四级
hsk4_040,并且,并且,bìngqiě,4,"1,2,3,4",连,1040,四级
hsk4_041,播放,播放,bōfàng,4,"1,2,3,4",动,1041,四级
hsk4_042,博士,博士,bóshì,4,"1,2,3,4",名,1042,四级
hsk4_043,不必,不必,búbì,4,"1,2,3,4",副,1043,四级
hsk4_044,不便,不便,búbiàn,4,"1,2,3,4",形、动,1044,四级
hsk4_045,不断,不断,búduàn,4,"1,2,3,4",动、副,1045,四级
hsk4_046,不够,不够,búgòu,4,"1,2,3,4",动、副,1046,四级
hsk4_047,不过,不过,búguò,4,"1,2,3,4",连、（副）,1047,四级（五级）
hsk4_048,不论,不论,búlùn,4,"1,2,3,4",连,1048,四级
hsk4_049,步,步,bù,4,"1,2,3,4",名,1049,四级
hsk4_050,部,部,bù,4,"1,2,3,4",名、量,1050,四级
hsk4_051,不得不,不得不,bùdébù,4,"1,2,3,4",副,1051,四级
hsk4_052,部分,部分,bùfen,4,"1,2,3,4",名,1052,四级
hsk4_053,不管,不管,bùguǎn,4,"1,2,3,4",连,1053,四级
hsk4_054,不光,不光,bùguāng,4,"1,2,3,4",副、连,1054,四级
hsk4_055,不仅,不仅,bùjǐn,4,"1,2,3,4",连,1055,四级
hsk4_056,不满,不满,bùmǎn,4,"1,2,3,4",形,1056,四级
hsk4_057,部门,部门,bùmén,4,"1,2,3,4",名,1057,四级
hsk4_058,不如,不如,bùrú,4,"1,2,3,4",动,1058,四级
hsk4_059,擦,擦,cā,4,"1,2,3,4",动,1059,四级
hsk4_060,猜,猜,cāi,4,"1,2,3,4",动,1060,四级
hsk4_061,材料,材料,cáiliào,4,"1,2,3,4",名,1061,四级
hsk4_062,参观,参观,cānguān,4,"1,2,3,4",动,1062,四级
hsk4_063,参赛,参赛,cānsài,4,"1,2,3,4",动,1063,四级
hsk4_064,餐厅,餐厅,cāntīng,4,"1,2,3,4",名,1064,四级
hsk4_065,操场,操场,cāochǎng,4,"1,2,3,4",名,1065,四级
hsk4_066,厕所,厕所,cèsuǒ,4,"1,2,3,4",名,1066,四级
hsk4_067,查看,查看,chákàn,4,"1,2,3,4",动,1067,四级
hsk4_068,茶叶,茶叶,cháyè,4,"1,2,3,4",名,1068,四级
hsk4_069,查找,查找,cházhǎo,4,"1,2,3,4",动,1069,四级
hsk4_070,差点儿,差点儿,chàdiǎnr,4,"1,2,3,4",形、副,1070,四级
hsk4_071,产生,产生,chǎnshēng,4,"1,2,3,4",动,1071,四级
hsk4_072,厂,厂,chǎng,4,"1,2,3,4",名,1072,四级
hsk4_073,场,场,chǎng,4,"1,2,3,4",量,1073,四级
hsk4_074,超过,超过,chāoguò,4,"1,2,3,4",动,1074,四级
hsk4_075,车速,车速,chēsù,4,"1,2,3,4",名,1075,四级
hsk4_076,车位,车位,chēwèi,4,"1,2,3,4",名,1076,四级
hsk4_077,城,城,chéng,4,"1,2,3,4",名,1077,四级
hsk4_078,乘,乘1,chéng,4,"1,2,3,4",动,1078,四级
hsk4_079,成功,成功,chénggōng,4,"1,2,3,4",动、形,1079,四级
hsk4_080,乘客,乘客,chéngkè,4,"1,2,3,4",名,1080,四级
hsk4_081,诚实,诚实,chéngshí,4,"1,2,3,4",形,1081,四级
hsk4_082,成为,成为,chéngwéi,4,"1,2,3,4",动,1082,四级
hsk4_083,乘坐,乘坐,chéngzuò,4,"1,2,3,4",动,1083,四级
hsk4_084,吃惊,吃惊,chījīng,4,"1,2,3,4",动,1084,四级
hsk4_085,迟,迟,chí,4,"1,2,3,4",形,1085,四级
hsk4_086,重,重,chóng,4,"1,2,3,4",副、（动）,1086,四级（五级）
hsk4_087,重新,重新,chóngxīn,4,"1,2,3,4",副,1087,四级
hsk4_088,出差,出差,chūchāi,4,"1,2,3,4",动,1088,四级
hsk4_089,出口,出口,chūkǒu,4,"1,2,3,4",名、（动）,1089,四级（五级）
hsk4_090,出现,出现,chūxiàn,4,"1,2,3,4",动,1090,四级
hsk4_091,出行,出行,chūxíng,4,"1,2,3,4",动,1091,四级
hsk4_092,出租,出租,chūzū,4,"1,2,3,4",动,1092,四级
hsk4_093,厨房,厨房,chúfáng,4,"1,2,3,4",名,1093,四级
hsk4_094,厨师,厨师,chúshī,4,"1,2,3,4",名,1094,四级
hsk4_095,窗,窗,chuāng,4,"1,2,3,4",名,1095,四级
hsk4_096,窗户,窗户,chuānghu,4,"1,2,3,4",名,1096,四级
hsk4_097,吹,吹,chuī,4,"1,2,3,4",动,1097,四级
hsk4_098,词语,词语,cíyǔ,4,"1,2,3,4",名,1098,四级
hsk4_099,此,此,cǐ,4,"1,2,3,4",代,1099,四级
hsk4_100,此次,此次,cǐ cì,4,"1,2,3,4",,1100,四级
hsk4_101,此外,此外,cǐwài,4,"1,2,3,4",连,1101,四级
hsk4_102,从此,从此,cóngcǐ,4,"1,2,3,4",副,1102,四级
hsk4_103,从来,从来,cónglái,4,"1,2,3,4",副,1103,四级
hsk4_104,从中,从中,cóngzhōng,4,"1,2,3,4",副,1104,四级
hsk4_105,粗,粗,cū,4,"1,2,3,4",形,1105,四级
hsk4_106,粗心,粗心,cūxīn,4,"1,2,3,4",形,1106,四级
hsk4_107,村,村,cūn,4,"1,2,3,4",名,1107,四级
hsk4_108,存,存,cún,4,"1,2,3,4",动,1108,四级
hsk4_109,错过,错过,cuòguò,4,"1,2,3,4",动,1109,四级
hsk4_110,错误,错误,cuòwù,4,"1,2,3,4",形、名,1110,四级
hsk4_111,答应,答应,dāying,4,"1,2,3,4",动,1111,四级
hsk4_112,答,答,dá,4,"1,2,3,4",动,1112,四级
hsk4_113,答案,答案,dá’àn,4,"1,2,3,4",名,1113,四级
hsk4_114,达到,达到,dádào,4,"1,2,3,4",动,1114,四级
hsk4_115,打招呼,打招呼,dǎ zhāohu,4,"1,2,3,4",,1115,四级
hsk4_116,打败,打败,dǎbài,4,"1,2,3,4",动,1116,四级
hsk4_117,打工,打工,dǎgōng,4,"1,2,3,4",动,1117,四级
hsk4_118,打扰,打扰,dǎrǎo,4,"1,2,3,4",动,1118,四级
hsk4_119,打印,打印,dǎyìn,4,"1,2,3,4",动,1119,四级
hsk4_120,打印机,打印机,dǎyìnjī,4,"1,2,3,4",名,1120,四级
hsk4_121,打折,打折,dǎzhé,4,"1,2,3,4",动,1121,四级
hsk4_122,打针,打针,dǎzhēn,4,"1,2,3,4",动,1122,四级
hsk4_123,大巴,大巴,dàbā,4,"1,2,3,4",名,1123,四级
hsk4_124,大大,大大,dàdà,4,"1,2,3,4",副,1124,四级
hsk4_125,大夫,大夫,dàifu,4,"1,2,3,4",名,1125,四级
hsk4_126,大量,大量,dàliàng,4,"1,2,3,4",形,1126,四级
hsk4_127,大赛,大赛,dàsài,4,"1,2,3,4",名,1127,四级
hsk4_128,大厅,大厅,dàtīng,4,"1,2,3,4",名,1128,四级
hsk4_129,大约,大约,dàyuē,4,"1,2,3,4",副,1129,四级
hsk4_130,大自然,大自然,dàzìrán,4,"1,2,3,4",名,1130,四级
hsk4_131,待,待,dāi,4,"1,2,3,4",动,1131,四级
hsk4_132,戴,戴,dài,4,"1,2,3,4",动,1132,四级
hsk4_133,袋子,袋子,dàizi,4,"1,2,3,4",名,1133,四级
hsk4_134,单位,单位,dānwèi,4,"1,2,3,4",名,1134,四级
hsk4_135,当,当,dāng,4,"1,2,3,4",动、介,1135,四级
hsk4_136,当时,当时,dāngshí,4,"1,2,3,4",名,1136,四级
hsk4_137,刀,刀,dāo,4,"1,2,3,4",名,1137,四级
hsk4_138,导游,导游,dǎoyóu,4,"1,2,3,4",动、名,1138,四级
hsk4_139,倒,倒,dào,4,"1,2,3,4",动、（副）,1139,四级（六级）
hsk4_140,道,道,dào,4,"1,2,3,4",名、量,1140,四级
hsk4_141,到底,到底,dàodǐ,4,"1,2,3,4",副,1141,四级
hsk4_142,到来,到来,dàolái,4,"1,2,3,4",动,1142,四级
hsk4_143,道路,道路,dàolù,4,"1,2,3,4",名,1143,四级
hsk4_144,道歉,道歉,dàoqiàn,4,"1,2,3,4",动,1144,四级
hsk4_145,得意,得意,déyì,4,"1,2,3,4",形,1145,四级
hsk4_146,登机,登机,dēngjī,4,"1,2,3,4",动,1146,四级
hsk4_147,等,等2,děng,4,"1,2,3,4",助、（名、量）,1147,四级（五级）
hsk4_148,等到,等到,děngdào,4,"1,2,3,4",介,1148,四级
hsk4_149,低,低,dī,4,"1,2,3,4",形、动,1149,四级
hsk4_150,低价,低价,dījià,4,"1,2,3,4",名,1150,四级
hsk4_151,低温,低温,dīwēn,4,"1,2,3,4",名,1151,四级
hsk4_152,低于,低于,dīyú,4,"1,2,3,4",动,1152,四级
hsk4_153,底,底,dǐ,4,"1,2,3,4",名,1153,四级
